epoch,lr,loss,loss_classifier,loss_box_reg,loss_objectness,loss_rpn_box_reg,val_map,val_map_50,val_precision,val_recall,val_tp,val_fp,val_fn,epoch_time_s
0,0.004998956901224011,0.06881543352890464,0.024819115173488317,0.04084137439328814,0.0020775510462227036,0.0010773929427651506,0.31227168440818787,0.638696551322937,0.4635838150289017,0.731084776663628,1604,1856,590,1689.8
1,0.00499545177190093,0.05666701621860451,0.018541754704660542,0.03617852369173635,0.0010104908708629173,0.0009362469330884094,0.25779667496681213,0.6170192956924438,0.5231028667790893,0.7069279854147675,1551,1414,643,1538.5
2,0.004989479928883225,0.056446865254954876,0.018538141527431145,0.03580614500431404,0.0011191017636938718,0.0009834770019141361,0.2769032120704651,0.6269718408584595,0.5124426981008513,0.7133090246125797,1565,1489,629,1534.1
3,0.00498104727524102,0.05462947503223651,0.01773657883542306,0.03453021750967289,0.001311853111092227,0.0010508256173987717,0.2853042185306549,0.6206516027450562,0.37183544303797467,0.7497721057429353,1645,2779,549,1529.6
4,0.004970162146515986,0.054281081214523144,0.017575984756475323,0.0342353544277761,0.0013907472793262166,0.0010789947487687746,0.2724253833293915,0.5988016724586487,0.41127565601454924,0.7215132178669098,1583,2266,611,1527.2
5,0.004956835302481765,0.055776268211010935,0.01807198135997216,0.03522697524857912,0.0013865189935352827,0.0010907926207391993,0.2469794899225235,0.5958256125450134,0.4515946937623483,0.7292616226071102,1600,1943,594,1521.8
6,0.004941079916508025,0.057038913777387706,0.018348399372008516,0.036188107638340405,0.001398893160169995,0.001103513627178363,0.2603251039981842,0.6036577820777893,0.4190774042220485,0.7329079307201458,1608,2229,586,1518.2
7,0.004922911562538791,0.054231216497540626,0.017311240930055954,0.03451776352292815,0.0013269746798576338,0.0010752373429990688,0.24282339215278625,0.5755497813224792,0.49559255631733595,0.6918869644484958,1518,1545,676,1525.9
8,0.004902348199698033,0.05709280630148617,0.018317162903501997,0.03633488745637914,0.0013270785333569517,0.001113677439770627,0.2896536886692047,0.6386997103691101,0.32651557029666484,0.8076572470373746,1772,3655,422,1521.9
9,0.004879410154537071,0.0576170664275312,0.0184654322556355,0.036695960330067126,0.001370891566513551,0.0010847822544210954,0.21363840997219086,0.5196834802627563,0.4521575984990619,0.659070191431176,1446,1752,748,1522.6
10,0.004854120100942438,0.05689723234717918,0.0181587609960431,0.03630715023400659,0.0013180556015603814,0.0011132655212840454,0.2524474561214447,0.5838004946708679,0.5189692197566214,0.6608933454876937,1450,1344,744,1515.6
