epoch,lr,loss,loss_classifier,loss_box_reg,loss_objectness,loss_rpn_box_reg,val_map,val_map_50,val_precision,val_recall,val_tp,val_fp,val_fn,epoch_time_s
0,0.0009966492641986136,0.039753150824249246,0.01595452482670026,0.020952268256061876,0.002209201199551732,0.0006371565462769075,0.2887451946735382,0.6497724056243896,0.4248447204968944,0.7793983591613491,1710,2315,484,1672.4
1,0.0009854412115354065,0.030226295426245168,0.010413463621840246,0.018695795429825867,0.0006338918219336749,0.0004831445576841748,0.29478809237480164,0.6475673317909241,0.5452420701168614,0.7443026435733819,1633,1362,561,1531.7
2,0.0009665275513265121,0.02892522465184685,0.009522641886017537,0.01842952385051607,0.0005143866843446718,0.00045867223717225636,0.27258479595184326,0.6177047491073608,0.5464423413950228,0.7105742935278031,1559,1294,635,1523.0
3,0.0009402085078614014,0.027744516162090217,0.008920544210871113,0.017945769613060814,0.0004409454686312833,0.0004372568773992105,0.27318769693374634,0.6254474520683289,0.5533667621776505,0.7041932543299909,1545,1247,649,1542.8
4,0.0009069018541167138,0.026521994514680847,0.008425264460671999,0.017262966216984612,0.00040736135285268367,0.00042640248897679215,0.2887721061706543,0.6191854476928711,0.4780621572212066,0.7151321786690975,1569,1713,625,1533.6
5,0.0008671362802743148,0.027009044993926676,0.008490414260310913,0.017700283007864158,0.0003909170817756301,0.00042743064107375123,0.30304351449012756,0.6532660722732544,0.5025843721495895,0.7534184138559709,1653,1636,541,1545.1
6,0.0008215430016051385,0.026322571874612816,0.008254076815178143,0.017266202571552657,0.0003876688047865858,0.0004146236616192446,0.27604150772094727,0.6181413531303406,0.5894695170229612,0.678669097538742,1489,1037,705,1534.5
7,0.0007708457389301584,0.025948133893917726,0.008151735275931061,0.01699471485929273,0.00038799268896422474,0.00041369105916842016,0.24040542542934418,0.5906289219856262,0.5210918114143921,0.6700091157702825,1470,1351,724,1548.8
8,0.0007158492307028281,0.026355844208595564,0.008293203976858177,0.017272756375876074,0.00037428198309076403,0.00041560186370187763,0.2922324538230896,0.6357465982437134,0.4438883034773446,0.768003646308113,1685,2111,509,1542.9
9,0.0006574264590654047,0.02599781044512413,0.008095835904806128,0.017105496176425858,0.00038095358565870416,0.00041552479261850866,0.2776203453540802,0.6291739344596863,0.5241721854304636,0.7215132178669098,1583,1437,611,1545.6
10,0.0005965047926451786,0.026171852047388772,0.0081396619091803,0.017230336525130018,0.000384780436848693,0.0004170731717985321,0.26677030324935913,0.6082525253295898,0.5110073382254836,0.6982680036463081,1532,1466,662,1540.8
11,0.0005340512660516966,0.026049255759045375,0.00808111012589895,0.017171172275583416,0.00038340502307336464,0.0004135683105383999,0.27473121881484985,0.617125928401947,0.5226575809199319,0.699179580674567,1534,1401,660,1529.6
12,0.00047105722973965735,0.02610480494690315,0.008077499986315389,0.017231130169052197,0.00037487676636270697,0.0004212980730639749,0.2778681814670563,0.6108249425888062,0.5982623086470832,0.659070191431176,1446,971,748,1542.7
13,0.00040852261389627336,0.0259302811961435,0.008010146061352322,0.017140427672569278,0.00035829520516983133,0.00042141224376746376,0.24677911400794983,0.5879251956939697,0.5961945031712473,0.6426618049225159,1410,955,784,1542.3
14,0.0003474400561391675,0.02547643548651881,0.007783610955358286,0.016936422409557814,0.00034542861555405586,0.0004109735208769981,0.2931666672229767,0.6440700888633728,0.5542857142857143,0.707383773928897,1552,1248,642,1541.9
15,0.0002887791449721089,0.025063893901830985,0.007649150899448063,0.016645298375972326,0.00035908240791327503,0.00041036224123243496,0.2816787362098694,0.629679799079895,0.5085511455308164,0.7183226982680037,1576,1523,618,1533.4
